occupation_group,month,occupation_label,ai_exposure,automation_prone,augmentation_prone,employment_share,source_note,post_chatgpt,high_exposure,treated,base_employment,employment_rate,log_wage
management,2021-01-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6288382145238818,10.79772605318475
business_financial,2021-01-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6180913595197135,10.957536296916071
computer_math,2021-01-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6523851606804039,10.762782250711512
architecture_engineering,2021-01-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6286408790492376,10.78103194975425
life_physical_social,2021-01-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6796836715497584,10.75524790866354
community_social,2021-01-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6807720081975068,10.80595027898542
legal,2021-01-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.5998501239694354,10.882990373920908
education,2021-01-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6978640807964773,10.69122286736576
arts_media,2021-01-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6318708566076056,10.913618702984419
healthcare_practitioners,2021-01-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.7162920104982262,10.826680064020177
healthcare_support,2021-01-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6185695163283375,10.83581817334477
protective_service,2021-01-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.7366024628940849,10.850831115676776
