state,year,treated,employment_rate,part_time_rate
AL,1975,0,0.6040997178409102,0.10350688578761484
AK,1975,0,0.5812827092476167,0.09956676673833965
AZ,1975,0,0.616881776848785,0.13244406073193257
AR,1975,0,0.6174975603315365,0.12006175955437144
CA,1975,0,0.5850303836731311,0.11820368902710665
CO,1975,0,0.5802852029592467,0.11556939704742564
CT,1975,0,0.5927493858333889,0.12379803136085744
DE,1975,0,0.6101980544749668,0.11993531047296759
FL,1975,0,0.6063957621171433,0.1102720233464026
GA,1975,0,0.5852416890324128,0.11541329904700243
HI,1975,0,0.6123522206999265,0.12402429506124465
ID,1975,0,0.6000677063061228,0.12505750615037167
IL,1975,0,0.6330879191123255,0.11252657821210725
IN,1975,0,0.6072120637053512,0.1277816869721753
IA,1975,0,0.6058982919740511,0.13669543817071259
KS,1975,0,0.6087909536728675,0.11956518782417207
KY,1975,0,0.5983761710272982,0.14599001048507795
LA,1975,0,0.6279957811160858,0.11319006437252385
ME,1975,0,0.5869200133439786,0.10530288111864879
MD,1975,0,0.5935744602013525,0.1199703278155711
MA,1975,0,0.5774700334511548,0.11974024914453339
MI,1975,0,0.5746182228174465,0.11991678743122776
MN,1975,0,0.6101411985812245,0.11942853607308863
MS,1975,0,0.6206028616336018,0.12862378609553451
MO,1975,0,0.591189349609615,0.14618313537072855
MT,1975,0,0.5903019691541831,0.09899842261590892
NE,1975,0,0.602521039333732,0.12029099954696942
NV,1975,0,0.6162083208328727,0.1462302766925335
NH,1975,0,0.5934954274870698,0.11109705993705528
NJ,1975,0,0.5986988756060556,0.11260874574158632
NM,1975,0,0.6023559398122201,0.1092519702790949
NY,1975,0,0.6185812036546873,0.10182997598391577
NC,1975,0,0.5771034919542991,0.11950664335574426
ND,1975,0,0.6265703870572003,0.11247437548724157
OH,1975,0,0.6115729719305798,0.11100181666607184
OK,1975,0,0.6029254028046188,0.13018943020616588
OR,1975,0,0.5986463130914301,0.1287406061353786
PA,1975,0,0.6009875494265543,0.12780336960119232
RI,1975,0,0.5900917547197883,0.12784709874766625
SC,1975,0,0.6282319547415672,0.12584207258700675
SD,1975,0,0.5877627074019063,0.11756642117575902
TN,1975,0,0.5981610238867282,0.12658411536025602
TX,1975,0,0.6261942224496081,0.1254528827493463
UT,1975,0,0.6257938400229385,0.12492367971640228
VT,1975,0,0.6161903390554946,0.11851373420135217
VA,1975,0,0.591535408798442,0.12164880957476017
